company_name,www,krs_number
STX Next Sp.z.o.o,https://www.stxnext.com/,0000230895
Stepwise Sp.z.o.o,https://stepwise.pl,0000635325
Brainhub Sp.z.o.o,https://brainhub.eu,0000622336
Gecko Dynamics Sp.z.o.o,https://geckodynamics.com,0000707573
Neoteric Sp.z.o.o,https://neoteric.eu,0000498594
itCraft Sp.z.o.o,https://itcraftapps.com,0000844724
Future Processing Sp.z.o.o,https://www.future-processing.com,0000217147
Software Mind Sp.z.o.o,https://softwaremind.com,0000411748
TeaCode.io SC,https://teacode.io,
Miquido Sp. z o. o. sp. k.,https://www.miquido.com,0000651969
Merixstudio Sp. z o.o.,https://www.merixstudio.com,0000938427
10Clouds Sp. z o.o.,https://10clouds.com,0000405868
The Software House Sp.z.o.o,https://tsh.io,0000435101
Visuality Sp. z o.o. sp. k.,https://www.visuality.pl,0000670915
Deviniti Sp. z.o.o.,https://deviniti.com,0000223645
Monterail Sp. z o. o.,https://www.monterail.com,0000357415
Gorrion Software House,https://gorrion.io,
Boldare XSolve sp. z o.o.,https://www.boldare.com,0000914518
Netguru S.A.,https://www.netguru.com,0000745671
Angry Nerds S.J.,https://angrynerds.co,0000757341
Software Hut Sp. z o.o.,https://softwarehut.com,0000565360
JMR Technologies Sp. z o.o.,https://www.jmr.pl,0000343359
Droids On Roids Sp. z o.o.,https://www.thedroidsonroids.com,0000940155
Apzumi Sp. z o.o. sp. kom.,https://www.apzumi.com,0000450526
Applover Sp. z o.o.,https://applover.com,0000602983
Order Group Sp. z o.o.,https://ordergroup.co,0000489590
EL Passion Sp. z o.o.,https://www.elpassion.com,0000460019
Selleo Sp z.o.o,https://selleo.com,0000925982
White Labels Coders  sp. z o.o.,https://whitelabelcoders.com,0000368391
Concise Software  Sp. z o.o.,https://concisesoftware.com,0000390423
iRonin.IT SP. Z O.O. SP. K.,https://www.ironin.it,0000665728
EMBIQ Sp. z o.o.,https://embiq.com,0000338852
nomtek  Sp.z.o.o,https://www.nomtek.com,0000468869
Ragnarson Sp. z o.o. Sp. K.,https://ragnarson.com,0000543467
Pagepro Sp. z o.o.,https://pagepro.co,0000667902
VAO Spolka Cywilna,https://www.vao.pl,0000885258
Nopio,https://www.nopio.com,
Polcode Sp. z o. o.,https://polcode.com,0000525949
Nextrope Next Enterprises Sp. z o.o.,https://nextrope.com,0000727128
SoftwareMill  SP. Z O.O. SP.K.,https://softwaremill.com,0000537126
JCommerce Sp. z o.o.,https://www.jcommerce.eu,0000312679
Sunscrapers  sp. z o.o.,https://sunscrapers.com,0000591597
Espeo Software Sp. z o.o.,https://espeo.eu,0000307845
Ready4S Sp. z o.o.,https://www.ready4s.com,0000542684
Da Vinci Studio sp. z o. o.,https://www.davinci-studio.com/,
Divante S.A.,https://www.divante.com,0000875316
Setapp Spółka z o.o.,https://setapp.pl,0000999055
Railwaymen Spółka z o.o.,https://railwaymen.org,0000386418
Codibly Spółka z o.o.,https://codibly.com,0000511782
VM.pl Software House Spółka z o.o.,https://www.vm.pl,0000743177
RST Software Masters Spółka z o.o.,https://rst.software,0000307102
Ideamotive Spółka z o.o.,https://www.ideamotive.co,0000529079
Codete sp. k.,https://codete.com,0000983688
4soft Spółka z o.o.,https://4soft.co,0000831231
Bravelab.io Spółka z o.o.,https://bravelab.io,0000585617
Airnauts Spółka z o.o.,https://airnauts.com,0000449487
Pirxon SA,https://pirxon.com,0000756045
GogoApps S.A.,https://www.gogoapps.io,0000839882
Sensi Labs Spółka z o.o.,https://www.sensilabs.pl,0000613262
United Ideas Spółka z o.o.,https://unitedideas.co,0000760334
Liki Sp. k.,https://likims.com,0000557864
Develtio Spółka z o.o.,https://develtio.com,0000684368
Accesto Spółka z o.o.,https://accesto.com,0000366764
HeroDOT Spółka z o.o.,https://herodot.com,0000548295
DeSmart Software Development Spółka z o.o.,https://desmart.com,0000681984
Better Software Group S.A.,https://www.bsgroup.eu,0000602767
Ultimate Systems Sp. z o.o.,https://www.ultimate.systems/web/,0000660837
Revolve Healthcare S. j.,https://revolve.healthcare,
Lunar Logic Spółka z o.o.,https://lunarlogic.io,0000217813
Code Inspiration Spółka z o.o.,https://codeinspiration.pro,0000899739
DO OK S.A.,https://dook.pro,0000639585
