company_name,www,krs_number
Netizens,https://www.netizens.pl,0000173040
Altkom Software& Consulting,https://www.altkomsoftware.com,0000448403
SoftKraft,https://www.softkraft.co/python-development-company/,
Euvic,https://www.euvic.com,0000233192
LaSoft,https://lasoft.org,
Pattern Match,https://www.pattern-match.com,0000747765
CodeWave,https://codewave.eu,0000519796
appwise software house,https://appwise.pl,
Vavatech,https://vavatech.eu,0000231437
Digica,https://www.digica.com,0000691017
Owls Department,https://www.owlsdepartment.com,0000793114
Brave New,https://bravenew.agency,0000722284
Forbytes,https://forbytes.com,
MobiDev,https://mobidev.biz,0000627637
Solidstudio Software House,https://solidstudio.io,0000799984
Solvd Inc.,https://www.solvd.com,0000953213
GOGOmedia,https://gogomedia.pl,0000458963
Giraffe Studio,https://giraffestudioapps.com,
INNOKREA,https://www.innokrea.com,0000656571
Hatimeria,https://www.hatimeria.com,0000969645
Software Things,https://softwarethings.pro,0000723231
HeadChannel,https://headchannel.co.uk,
Qarbon IT,https://www.qarbon.it,0000779483
Scalac,https://scalac.io,0000493511
Codeshine,https://codeshine.com,0000520279
Sagiton,https://www.sagiton.pl/pl/,0000449601
2N IT,https://www.2n.pl,0000545924
ASPER BROTHERS,https://asperbrothers.com,
Startup Development House,https://start-up.house/en/,0000624654
GP Solutions,https://www.software.travel,0000182494
Symphony Solutions,https://symphony-solutions.com,0000549572
Frontkom,https://frontkom.com,0000679656
nexocode,https://nexocode.com,0000686992
TH-EY,https://th-ey.com,0000938268
Webini,https://webini.co,
Future Mind,https://www.futuremind.com,0000309577
AMC TECH,https://amctech.pl,
Vazco,https://www.vazco.eu,0000837361
LeanCode,https://leancode.co,0000638275
Evojam,https://evojam.com,0000522575
Zaven,https://zaven.co,0000515347
Exaco,https://exaco.pl,0000500634
Code & Pepper,https://codeandpepper.com,
DevBrother,https://devbrother.com,
SolveIt,https://solveit.dev,0000913743
Mits,https://mits.pl/en/,0000671843
FINGO Software House,https://www.fingo.pl,0000020323
RTE,https://rte.global,0000485291
Yameo,http://www.yameo.eu,0000226196
NubiSoft,https://nubisoft.io,0000742201
Svitla Systems,https://svitla.com,
Freeport Metrics,https://www.freeportmetrics.com,
SPEEDNET,https://speednet.pl,0000295602
TEONITE,https://teonite.com,0000608423
Makimo,https://makimo.pl,0000496337
G-Group.dev,https://www.g-group.dev,0000764530
mDevelopers,https://mdevelopers.com,0000364079
B-MIND Software House,https://b-mind.co,0000496020
N7 Mobile,https://n7mobile.com/pl,0000378709
Ulam Labs,https://www.ulam.io,
bPol (Primotly),https://bpol.net
ICEO - Venture Builder,https://iceo.co/pl,
Devox Software,https://devoxsoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,
Clurgo,https://clurgo.com/pl/,0000504465
Agiliway,https://agiliway.com,0000957481
ITechArt Group,https://www.itechart.com,0000865089
DICEUS,https://diceus.com,0000974808
Itexus,https://itexus.com,
Uptech,https://www.uptech.team,0000968142
N-iX,https://www.n-ix.com/team-extension/,
eTeam,https://www.eteam.io,0000387633
Adexin,https://adexin.com,
CSHARK,https://cshark.com,0000524245
